--------- beginning of system
05-03 08:44:16.384  6639 24459 E ActivityThread: Failed to find provider info for com.google.android.apps.gsa.testing.ui.audio.recorded
05-03 08:44:29.093  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REPLACED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
05-03 08:44:29.118  1698  1698 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@AP8
05-03 08:44:29.620  1698  2018 I ActivityManager: START u0 {flg=0x10000000 cmp=com.app_compare_react_native/.MainActivity} from uid 2000
05-03 08:44:29.641  1698  7089 I ActivityManager: Start proc 25041:com.app_compare_react_native/u0a84 for activity com.app_compare_react_native/.MainActivity
05-03 08:44:33.136  1698  1907 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
05-03 08:44:44.516  1698  2024 I ActivityManager: Start proc 25090:com.android.chrome:webview_service/u0a46 for service com.android.chrome/org.chromium.android_webview.services.VariationsSeedServer
05-03 08:44:46.761  1698  7093 I ActivityManager: START u0 {flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity} from uid 10028
05-03 08:44:47.805  1698  1708 I ActivityManager: Killing 25041:com.app_compare_react_native/u0a84 (adj 900): remove task
05-03 08:44:47.807  1698  7092 I ActivityManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.google.android.apps.nexuslauncher/.NexusLauncherActivity} from uid 10028
05-03 08:44:47.834  1698  1907 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
05-03 08:44:47.869  1698  7092 I WindowManager: WIN DEATH: Window{d4bdd6d u0 com.app_compare_react_native/com.app_compare_react_native.MainActivity}
05-03 08:44:47.876  1698  1719 W ActivityManager: setHasOverlayUi called on unknown pid: 25041
05-03 08:44:48.009  6639 24457 E ActivityThread: Failed to find provider info for com.google.android.apps.gsa.testing.ui.audio.recorded
05-03 08:44:50.742  1698  1930 I ActivityManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.app_compare_react_native/.MainActivity bnds=[283,660][540,990]} from uid 10020
05-03 08:44:50.768  1698  7093 I ActivityManager: Start proc 25117:com.app_compare_react_native/u0a84 for activity com.app_compare_react_native/.MainActivity
05-03 08:44:51.394  1698  1907 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
05-03 08:46:49.310  1698  2447 I ActivityManager: START u0 {flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity} from uid 10028
05-03 08:46:50.317  1698  1708 I ActivityManager: Killing 25117:com.app_compare_react_native/u0a84 (adj 900): remove task
05-03 08:46:50.320  1698  7092 I ActivityManager: START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.google.android.apps.nexuslauncher/.NexusLauncherActivity} from uid 10028
05-03 08:46:50.332  1698  1907 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
05-03 08:46:50.337  1698  2447 I WindowManager: WIN DEATH: Window{a1dd23c u0 com.app_compare_react_native/com.app_compare_react_native.MainActivity}
05-03 08:46:50.348  1698  1719 W ActivityManager: setHasOverlayUi called on unknown pid: 25117
05-03 08:46:50.366  1698  1907 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
05-03 08:46:50.548  6639 24457 E ActivityThread: Failed to find provider info for com.google.android.apps.gsa.testing.ui.audio.recorded
05-03 08:47:10.684  6639 24457 I chatty  : uid=10030(u0_a30) com.google.android.googlequicksearchbox:search identical 4 lines
05-03 08:47:15.724  6639 24457 E ActivityThread: Failed to find provider info for com.google.android.apps.gsa.testing.ui.audio.recorded
05-03 08:47:19.926  1698  1712 I ActivityManager: Force stopping com.app_compare_react_native appid=10084 user=-1: installPackageLI
05-03 08:47:19.961  1698  1724 I PackageManager: Package com.app_compare_react_native codePath changed from /data/app/com.app_compare_react_native-VeBFlhscFEpUSSCb7_oG7A== to /data/app/com.app_compare_react_native-5NceTwVwQDorECCr1lITUw==; Retaining data and using new
05-03 08:47:19.961  1698  1724 W PackageManager: Code path for com.app_compare_react_native changing from /data/app/com.app_compare_react_native-VeBFlhscFEpUSSCb7_oG7A== to /data/app/com.app_compare_react_native-5NceTwVwQDorECCr1lITUw==
05-03 08:47:19.961  1698  1724 W PackageManager: Resource path for com.app_compare_react_native changing from /data/app/com.app_compare_react_native-VeBFlhscFEpUSSCb7_oG7A== to /data/app/com.app_compare_react_native-5NceTwVwQDorECCr1lITUw==
05-03 08:47:20.070  1698  1724 I ActivityManager: Force stopping com.app_compare_react_native appid=10084 user=0: pkg removed
05-03 08:47:20.094  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemanager.impl.PackageMonitorReceiverImpl$RegisteredReceiver
05-03 08:47:20.095  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.instantapps.appmanagement.InstantAppRemoveMonitor
05-03 08:47:20.102  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
05-03 08:47:20.103  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.gms/.photos.autobackup.PhotosAppUninstalledReceiver
05-03 08:47:20.103  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
05-03 08:47:20.106  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REMOVED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
05-03 08:47:20.106  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemanager.impl.PackageMonitorReceiverImpl$RegisteredReceiver
05-03 08:47:20.106  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
05-03 08:47:20.106  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
05-03 08:47:20.107  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
05-03 08:47:20.108  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
05-03 08:47:20.114  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REPLACED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.apps.photos/.account.full.FetchAccountPropertiesAppUpgradeBroadcastReceiver
05-03 08:47:20.120  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REPLACED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.apps.photos/.account.full.SyncAccountsForLoginBroadcastReceiver
05-03 08:47:20.120  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REPLACED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.apps.photos/.experiments.phenotype.full.PhenotypeAppUpgradeBroadcastReceiver
05-03 08:47:20.120  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REPLACED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.apps.photos/.notificationchannels.AppUpdateBroadcastReceiver
05-03 08:47:20.120  1698  1712 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_REPLACED dat=package:com.app_compare_react_native flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
